t_sim,q1,q2,q3,q4,q5,q6,q7,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,q7_ref,tau1,tau2,tau3,tau4,tau5,tau6,tau7,gripper_cmd,tracking_error,ee_x,ee_y,ee_z
0.0000,0.000000,0.300000,0.000000,-1.570790,0.000000,2.000000,-0.785300,0.000000,0.300000,0.000000,-1.570790,0.000000,2.000000,-0.785300,0.000000,0.300000,0.000000,-1.570790,0.000000,2.000000,-0.785300,0.0400,0.000000,0.6778,0.0000,0.3783
0.0020,0.000001,0.300036,-0.000001,-1.570827,-0.000005,2.000011,-0.785300,0.000000,0.300000,0.000000,-1.570790,-0.000000,2.000000,-0.785300,0.000000,0.300000,0.000000,-1.570790,-0.000000,2.000000,-0.785300,0.0400,0.000053,0.6778,0.0000,0.3783
0.0040,0.000003,0.300108,-0.000003,-1.570898,-0.000015,2.000028,-0.785300,0.000000,0.300000,0.000000,-1.570790,-0.000000,2.000000,-0.785300,0.000000,0.300000,0.000000,-1.570790,-0.000000,2.000000,-0.785300,0.0400,0.000156,0.6778,-0.0000,0.3782
0.0060,0.000006,0.300214,-0.000005,-1.571000,-0.000030,2.000049,-0.785300,0.000000,0.300000,0.000000,-1.570791,-0.000000,2.000000,-0.785301,0.000000,0.300000,0.000000,-1.570791,-0.000000,2.000000,-0.785301,0.0400,0.000305,0.6778,-0.0000,0.3782
0.0080,0.000008,0.300355,-0.000006,-1.571132,-0.000051,2.000070,-0.785301,0.000000,0.300000,0.000000,-1.570791,-0.000001,2.000001,-0.785302,0.000000,0.300000,0.000000,-1.570791,-0.000001,2.000001,-0.785302,0.0400,0.000500,0.6778,-0.0000,0.3780
0.0100,0.000011,0.300530,-0.000008,-1.571291,-0.000078,2.000088,-0.785301,0.000000,0.300000,0.000000,-1.570793,-0.000001,2.000002,-0.785304,0.000000,0.300000,0.000000,-1.570793,-0.000001,2.000002,-0.785304,0.0400,0.000737,0.6778,-0.0000,0.3779
0.0120,0.000015,0.300737,-0.000010,-1.571476,-0.000110,2.000101,-0.785301,0.000000,0.299999,0.000001,-1.570795,-0.000002,2.000004,-0.785307,0.000000,0.299999,0.000001,-1.570795,-0.000002,2.000004,-0.785307,0.0400,0.001015,0.6778,-0.0000,0.3777
0.0140,0.000018,0.300976,-0.000012,-1.571686,-0.000147,2.000107,-0.785301,0.000000,0.299999,0.000001,-1.570798,-0.000003,2.000006,-0.785311,0.000000,0.299999,0.000001,-1.570798,-0.000003,2.000006,-0.785311,0.0400,0.001332,0.6777,-0.0000,0.3775
0.0160,0.000022,0.301246,-0.000014,-1.571918,-0.000189,2.000103,-0.785302,0.000000,0.299998,0.000002,-1.570801,-0.000005,2.000009,-0.785317,0.000000,0.299998,0.000002,-1.570801,-0.000005,2.000009,-0.785317,0.0400,0.001687,0.6777,-0.0000,0.3772
0.0180,0.000025,0.301545,-0.000016,-1.572171,-0.000236,2.000088,-0.785303,0.000000,0.299998,0.000003,-1.570806,-0.000007,2.000013,-0.785324,0.000000,0.299998,0.000003,-1.570806,-0.000007,2.000013,-0.785324,0.0400,0.002078,0.6777,-0.0000,0.3769
0.0200,0.000029,0.301873,-0.000017,-1.572445,-0.000288,2.000060,-0.785304,0.000001,0.299997,0.000003,-1.570812,-0.000010,2.000017,-0.785332,0.000001,0.299997,0.000003,-1.570812,-0.000010,2.000017,-0.785332,0.0400,0.002504,0.6776,-0.0000,0.3766
0.0220,0.000033,0.302228,-0.000019,-1.572738,-0.000345,2.000018,-0.785305,0.000001,0.299996,0.000005,-1.570819,-0.000013,2.000023,-0.785343,0.000001,0.299996,0.000005,-1.570819,-0.000013,2.000023,-0.785343,0.0400,0.002963,0.6775,-0.0000,0.3762
0.0240,0.000037,0.302610,-0.000021,-1.573050,-0.000405,1.999961,-0.785307,0.000001,0.299995,0.000006,-1.570828,-0.000017,2.000030,-0.785356,0.000001,0.299995,0.000006,-1.570828,-0.000017,2.000030,-0.785356,0.0400,0.003455,0.6775,-0.0000,0.3758
0.0260,0.000041,0.303016,-0.000022,-1.573379,-0.000469,1.999888,-0.785309,0.000001,0.299993,0.000008,-1.570838,-0.000021,2.000038,-0.785371,0.000001,0.299993,0.000008,-1.570838,-0.000021,2.000038,-0.785371,0.0400,0.003978,0.6774,-0.0001,0.3754
0.0280,0.000045,0.303447,-0.000024,-1.573724,-0.000536,1.999799,-0.785311,0.000002,0.299991,0.000010,-1.570850,-0.000026,2.000047,-0.785388,0.000002,0.299991,0.000010,-1.570850,-0.000026,2.000047,-0.785388,0.0400,0.004531,0.6773,-0.0001,0.3749
0.0300,0.000049,0.303900,-0.000025,-1.574085,-0.000607,1.999693,-0.785315,0.000002,0.299989,0.000012,-1.570863,-0.000032,2.000058,-0.785408,0.000002,0.299989,0.000012,-1.570863,-0.000032,2.000058,-0.785408,0.0400,0.005114,0.6773,-0.0001,0.3744
0.0320,0.000053,0.304375,-0.000027,-1.574462,-0.000680,1.999570,-0.785319,0.000002,0.299987,0.000014,-1.570879,-0.000039,2.000070,-0.785431,0.000002,0.299987,0.000014,-1.570879,-0.000039,2.000070,-0.785431,0.0400,0.005724,0.6772,-0.0001,0.3739
0.0340,0.000057,0.304870,-0.000029,-1.574852,-0.000755,1.999431,-0.785324,0.000003,0.299985,0.000017,-1.570896,-0.000047,2.000084,-0.785457,0.000003,0.299985,0.000017,-1.570896,-0.000047,2.000084,-0.785457,0.0400,0.006362,0.6771,-0.0001,0.3734
0.0360,0.000060,0.305386,-0.000030,-1.575256,-0.000831,1.999275,-0.785331,0.000004,0.299982,0.000020,-1.570916,-0.000055,2.000099,-0.785485,0.000004,0.299982,0.000020,-1.570916,-0.000055,2.000099,-0.785485,0.0400,0.007025,0.6770,-0.0001,0.3729
0.0380,0.000064,0.305919,-0.000032,-1.575673,-0.000910,1.999103,-0.785338,0.000004,0.299979,0.000024,-1.570937,-0.000065,2.000116,-0.785518,0.000004,0.299979,0.000024,-1.570937,-0.000065,2.000116,-0.785518,0.0400,0.007713,0.6769,-0.0001,0.3723
0.0400,0.000068,0.306470,-0.000034,-1.576103,-0.000989,1.998915,-0.785347,0.000005,0.299975,0.000027,-1.570961,-0.000075,2.000136,-0.785553,0.000005,0.299975,0.000027,-1.570961,-0.000075,2.000136,-0.785553,0.0400,0.008425,0.6768,-0.0001,0.3717
0.0420,0.000072,0.307037,-0.000036,-1.576544,-0.001069,1.998712,-0.785358,0.000006,0.299971,0.000032,-1.570988,-0.000087,2.000157,-0.785593,0.000006,0.299971,0.000032,-1.570988,-0.000087,2.000157,-0.785593,0.0400,0.009160,0.6766,-0.0001,0.3711
0.0440,0.000075,0.307619,-0.000038,-1.576996,-0.001149,1.998496,-0.785370,0.000006,0.299967,0.000036,-1.571017,-0.000100,2.000180,-0.785636,0.000006,0.299967,0.000036,-1.571017,-0.000100,2.000180,-0.785636,0.0400,0.009915,0.6765,-0.0001,0.3705
0.0460,0.000079,0.308216,-0.000040,-1.577458,-0.001229,1.998266,-0.785385,0.000007,0.299963,0.000041,-1.571049,-0.000114,2.000205,-0.785683,0.000007,0.299963,0.000041,-1.571049,-0.000114,2.000205,-0.785683,0.0400,0.010691,0.6764,-0.0002,0.3698
0.0480,0.000082,0.308826,-0.000042,-1.577930,-0.001309,1.998024,-0.785402,0.000008,0.299958,0.000047,-1.571084,-0.000129,2.000232,-0.785734,0.000008,0.299958,0.000047,-1.571084,-0.000129,2.000232,-0.785734,0.0400,0.011485,0.6763,-0.0002,0.3692
0.0500,0.000085,0.309447,-0.000044,-1.578412,-0.001389,1.997770,-0.785421,0.000009,0.299952,0.000053,-1.571121,-0.000146,2.000262,-0.785789,0.000009,0.299952,0.000053,-1.571121,-0.000146,2.000262,-0.785789,0.0400,0.012297,0.6761,-0.0002,0.3685
0.0520,0.000088,0.310081,-0.000046,-1.578902,-0.001468,1.997508,-0.785443,0.000010,0.299946,0.000059,-1.571162,-0.000164,2.000294,-0.785849,0.000010,0.299946,0.000059,-1.571162,-0.000164,2.000294,-0.785849,0.0400,0.013125,0.6760,-0.0002,0.3678
0.0540,0.000091,0.310724,-0.000048,-1.579401,-0.001545,1.997236,-0.785467,0.000012,0.299940,0.000066,-1.571205,-0.000183,2.000328,-0.785914,0.000012,0.299940,0.000066,-1.571205,-0.000183,2.000328,-0.785914,0.0400,0.013968,0.6758,-0.0002,0.3671
0.0560,0.000093,0.311377,-0.000050,-1.579907,-0.001621,1.996958,-0.785495,0.000013,0.299933,0.000074,-1.571252,-0.000204,2.000366,-0.785983,0.000013,0.299933,0.000074,-1.571252,-0.000204,2.000366,-0.785983,0.0400,0.014824,0.6757,-0.0002,0.3664
0.0580,0.000096,0.312039,-0.000052,-1.580421,-0.001696,1.996673,-0.785526,0.000014,0.299926,0.000082,-1.571302,-0.000226,2.000405,-0.786057,0.000014,0.299926,0.000082,-1.571302,-0.000226,2.000405,-0.786057,0.0400,0.015693,0.6755,-0.0002,0.3657
0.0600,0.000098,0.312708,-0.000055,-1.580941,-0.001770,1.996384,-0.785560,0.000016,0.299918,0.000090,-1.571356,-0.000249,2.000448,-0.786136,0.000016,0.299918,0.000090,-1.571356,-0.000249,2.000448,-0.786136,0.0400,0.016572,0.6754,-0.0002,0.3649
0.0620,0.000100,0.313383,-0.000057,-1.581467,-0.001842,1.996092,-0.785599,0.000018,0.299910,0.000099,-1.571413,-0.000274,2.000493,-0.786221,0.000018,0.299910,0.000099,-1.571413,-0.000274,2.000493,-0.786221,0.0400,0.017460,0.6752,-0.0002,0.3642
0.0640,0.000102,0.314065,-0.000059,-1.581999,-0.001912,1.995798,-0.785641,0.000019,0.299901,0.000109,-1.571474,-0.000301,2.000541,-0.786310,0.000019,0.299901,0.000109,-1.571474,-0.000301,2.000541,-0.786310,0.0400,0.018357,0.6750,-0.0003,0.3634
0.0660,0.000103,0.314752,-0.000062,-1.582536,-0.001980,1.995504,-0.785687,0.000021,0.299892,0.000119,-1.571538,-0.000330,2.000592,-0.786406,0.000021,0.299892,0.000119,-1.571538,-0.000330,2.000592,-0.786406,0.0400,0.019260,0.6749,-0.0003,0.3627
0.0680,0.000104,0.315443,-0.000064,-1.583078,-0.002046,1.995211,-0.785738,0.000023,0.299882,0.000130,-1.571607,-0.000360,2.000646,-0.786506,0.000023,0.299882,0.000130,-1.571607,-0.000360,2.000646,-0.786506,0.0400,0.020168,0.6747,-0.0003,0.3619
0.0700,0.000106,0.316138,-0.000067,-1.583624,-0.002111,1.994920,-0.785793,0.000025,0.299871,0.000142,-1.571679,-0.000391,2.000703,-0.786613,0.000025,0.299871,0.000142,-1.571679,-0.000391,2.000703,-0.786613,0.0400,0.021081,0.6745,-0.0003,0.3611
0.0720,0.000106,0.316835,-0.000069,-1.584173,-0.002174,1.994633,-0.785853,0.000027,0.299860,0.000154,-1.571755,-0.000425,2.000763,-0.786726,0.000027,0.299860,0.000154,-1.571755,-0.000425,2.000763,-0.786726,0.0400,0.021996,0.6743,-0.0003,0.3604
0.0740,0.000107,0.317535,-0.000071,-1.584726,-0.002235,1.994350,-0.785918,0.000029,0.299849,0.000167,-1.571835,-0.000460,2.000827,-0.786844,0.000029,0.299849,0.000167,-1.571835,-0.000460,2.000827,-0.786844,0.0400,0.022912,0.6742,-0.0003,0.3596
0.0760,0.000107,0.318235,-0.000074,-1.585282,-0.002295,1.994074,-0.785988,0.000032,0.299837,0.000180,-1.571920,-0.000498,2.000894,-0.786969,0.000032,0.299837,0.000180,-1.571920,-0.000498,2.000894,-0.786969,0.0400,0.023829,0.6740,-0.0003,0.3588
0.0780,0.000108,0.318937,-0.000076,-1.585840,-0.002353,1.993805,-0.786064,0.000034,0.299824,0.000195,-1.572009,-0.000537,2.000964,-0.787101,0.000034,0.299824,0.000195,-1.572009,-0.000537,2.000964,-0.787101,0.0400,0.024745,0.6738,-0.0003,0.3580
0.0800,0.000107,0.319638,-0.000078,-1.586400,-0.002409,1.993544,-0.786145,0.000037,0.299810,0.000209,-1.572102,-0.000578,2.001038,-0.787238,0.000037,0.299810,0.000209,-1.572102,-0.000578,2.001038,-0.787238,0.0400,0.025658,0.6736,-0.0003,0.3573
0.0820,0.000107,0.320338,-0.000080,-1.586961,-0.002465,1.993293,-0.786232,0.000040,0.299796,0.000225,-1.572200,-0.000621,2.001115,-0.787383,0.000040,0.299796,0.000225,-1.572200,-0.000621,2.001115,-0.787383,0.0400,0.026568,0.6735,-0.0004,0.3565
0.0840,0.000107,0.321037,-0.000082,-1.587524,-0.002519,1.993053,-0.786326,0.000042,0.299781,0.000241,-1.572302,-0.000666,2.001196,-0.787534,0.000042,0.299781,0.000241,-1.572302,-0.000666,2.001196,-0.787534,0.0400,0.027474,0.6733,-0.0004,0.3557
0.0860,0.000106,0.321734,-0.000084,-1.588087,-0.002572,1.992823,-0.786425,0.000045,0.299766,0.000258,-1.572409,-0.000713,2.001280,-0.787692,0.000045,0.299766,0.000258,-1.572409,-0.000713,2.001280,-0.787692,0.0400,0.028374,0.6731,-0.0004,0.3549
0.0880,0.000105,0.322428,-0.000086,-1.588651,-0.002624,1.992606,-0.786530,0.000049,0.299750,0.000276,-1.572521,-0.000762,2.001369,-0.787857,0.000049,0.299750,0.000276,-1.572521,-0.000762,2.001369,-0.787857,0.0400,0.029268,0.6729,-0.0004,0.3542
0.0900,0.000103,0.323119,-0.000088,-1.589214,-0.002676,1.992401,-0.786643,0.000052,0.299733,0.000295,-1.572637,-0.000813,2.001461,-0.788029,0.000052,0.299733,0.000295,-1.572637,-0.000813,2.001461,-0.788029,0.0400,0.030155,0.6728,-0.0004,0.3534
0.0920,0.000102,0.323806,-0.000089,-1.589777,-0.002728,1.992210,-0.786761,0.000055,0.299715,0.000314,-1.572759,-0.000867,2.001557,-0.788209,0.000055,0.299715,0.000314,-1.572759,-0.000867,2.001557,-0.788209,0.0400,0.031033,0.6726,-0.0004,0.3526
0.0940,0.000100,0.324488,-0.000091,-1.590339,-0.002779,1.992033,-0.786887,0.000059,0.299697,0.000334,-1.572885,-0.000923,2.001657,-0.788396,0.000059,0.299697,0.000334,-1.572885,-0.000923,2.001657,-0.788396,0.0400,0.031903,0.6724,-0.0004,0.3519
0.0960,0.000098,0.325166,-0.000092,-1.590900,-0.002830,1.991870,-0.787020,0.000063,0.299678,0.000355,-1.573017,-0.000981,2.001761,-0.788590,0.000063,0.299678,0.000355,-1.573017,-0.000981,2.001761,-0.788590,0.0400,0.032762,0.6723,-0.0004,0.3511
0.0980,0.000096,0.325838,-0.000093,-1.591459,-0.002882,1.991723,-0.787160,0.000066,0.299658,0.000377,-1.573154,-0.001041,2.001869,-0.788792,0.000066,0.299658,0.000377,-1.573154,-0.001041,2.001869,-0.788792,0.0400,0.033611,0.6721,-0.0004,0.3504
0.1000,0.000094,0.326504,-0.000094,-1.592016,-0.002934,1.991590,-0.787307,0.000070,0.299637,0.000400,-1.573296,-0.001103,2.001982,-0.789002,0.000070,0.299637,0.000400,-1.573296,-0.001103,2.001982,-0.789002,0.0400,0.034448,0.6719,-0.0004,0.3496
0.1020,0.000091,0.327163,-0.000094,-1.592572,-0.002986,1.991474,-0.787462,0.000075,0.299616,0.000423,-1.573443,-0.001168,2.002098,-0.789220,0.000075,0.299616,0.000423,-1.573443,-0.001168,2.002098,-0.789220,0.0400,0.035274,0.6718,-0.0005,0.3489
0.1040,0.000089,0.327815,-0.000095,-1.593124,-0.003040,1.991373,-0.787624,0.000079,0.299594,0.000448,-1.573596,-0.001236,2.002219,-0.789445,0.000079,0.299594,0.000448,-1.573596,-0.001236,2.002219,-0.789445,0.0400,0.036087,0.6716,-0.0005,0.3482
0.1060,0.000086,0.328460,-0.000095,-1.593674,-0.003094,1.991289,-0.787794,0.000083,0.299571,0.000473,-1.573754,-0.001305,2.002344,-0.789679,0.000083,0.299571,0.000473,-1.573754,-0.001305,2.002344,-0.789679,0.0400,0.036887,0.6715,-0.0005,0.3474
0.1080,0.000083,0.329097,-0.000094,-1.594221,-0.003150,1.991221,-0.787971,0.000088,0.299547,0.000499,-1.573918,-0.001377,2.002474,-0.789921,0.000088,0.299547,0.000499,-1.573918,-0.001377,2.002474,-0.789921,0.0400,0.037673,0.6713,-0.0005,0.3467
0.1100,0.000079,0.329725,-0.000094,-1.594764,-0.003207,1.991168,-0.788157,0.000093,0.299523,0.000526,-1.574088,-0.001452,2.002608,-0.790172,0.000093,0.299523,0.000526,-1.574088,-0.001452,2.002608,-0.790172,0.0400,0.038446,0.6712,-0.0005,0.3460
0.1120,0.000076,0.330345,-0.000093,-1.595304,-0.003266,1.991132,-0.788351,0.000098,0.299497,0.000554,-1.574263,-0.001529,2.002747,-0.790431,0.000098,0.299497,0.000554,-1.574263,-0.001529,2.002747,-0.790431,0.0400,0.039204,0.6710,-0.0005,0.3453
0.1140,0.000072,0.330955,-0.000091,-1.595841,-0.003327,1.991112,-0.788553,0.000103,0.299471,0.000583,-1.574444,-0.001609,2.002890,-0.790698,0.000103,0.299471,0.000583,-1.574444,-0.001609,2.002890,-0.790698,0.0400,0.039947,0.6709,-0.0005,0.3447
0.1160,0.000068,0.331556,-0.000090,-1.596373,-0.003390,1.991108,-0.788763,0.000108,0.299444,0.000613,-1.574631,-0.001691,2.003038,-0.790975,0.000108,0.299444,0.000613,-1.574631,-0.001691,2.003038,-0.790975,0.0400,0.040675,0.6707,-0.0005,0.3440
0.1180,0.000065,0.332147,-0.000088,-1.596901,-0.003454,1.991120,-0.788981,0.000113,0.299416,0.000644,-1.574824,-0.001776,2.003190,-0.791260,0.000113,0.299416,0.000644,-1.574824,-0.001776,2.003190,-0.791260,0.0400,0.041387,0.6706,-0.0005,0.3433
0.1200,0.000060,0.332727,-0.000085,-1.597424,-0.003522,1.991147,-0.789208,0.000119,0.299388,0.000676,-1.575023,-0.001864,2.003348,-0.791554,0.000119,0.299388,0.000676,-1.575023,-0.001864,2.003348,-0.791554,0.0400,0.042084,0.6705,-0.0006,0.3427
0.1220,0.000056,0.333297,-0.000082,-1.597943,-0.003591,1.991189,-0.789444,0.000125,0.299358,0.000708,-1.575228,-0.001954,2.003510,-0.791856,0.000125,0.299358,0.000708,-1.575228,-0.001954,2.003510,-0.791856,0.0400,0.042764,0.6703,-0.0006,0.3420
0.1240,0.000052,0.333856,-0.000079,-1.598458,-0.003664,1.991246,-0.789689,0.000131,0.299327,0.000742,-1.575440,-0.002047,2.003677,-0.792169,0.000131,0.299327,0.000742,-1.575440,-0.002047,2.003677,-0.792169,0.0400,0.043429,0.6702,-0.0006,0.3414
0.1260,0.000048,0.334404,-0.000075,-1.598967,-0.003739,1.991318,-0.789942,0.000137,0.299296,0.000777,-1.575657,-0.002143,2.003849,-0.792490,0.000137,0.299296,0.000777,-1.575657,-0.002143,2.003849,-0.792490,0.0400,0.044076,0.6701,-0.0006,0.3408
0.1280,0.000043,0.334940,-0.000071,-1.599472,-0.003816,1.991404,-0.790204,0.000143,0.299263,0.000812,-1.575881,-0.002242,2.004026,-0.792820,0.000143,0.299263,0.000812,-1.575881,-0.002242,2.004026,-0.792820,0.0400,0.044708,0.6700,-0.0006,0.3402
