t_sim,q1,q2,q3,q4,q5,q6,q7,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,q7_ref,tau1,tau2,tau3,tau4,tau5,tau6,tau7,gripper_cmd,tracking_error,ee_x,ee_y,ee_z
0.0000,0.000000,0.300000,0.000000,-1.570790,0.000000,2.000000,-0.785300,0.000000,0.300000,0.000000,-1.570790,0.000000,2.000000,-0.785300,0.000000,0.300000,0.000000,-1.570790,0.000000,2.000000,-0.785300,0.0400,0.000000,0.6778,0.0000,0.3783
0.0050,0.000005,0.300220,-0.000004,-1.571000,-0.000033,2.000038,-0.785300,0.000000,0.300000,0.000000,-1.570793,-0.000001,2.000002,-0.785304,0.000000,0.300000,0.000000,-1.570793,-0.000001,2.000002,-0.785304,0.0400,0.000306,0.6778,0.0000,0.3783
0.0100,0.000012,0.300649,-0.000009,-1.571387,-0.000100,2.000068,-0.785301,0.000001,0.299998,0.000003,-1.570812,-0.000010,2.000018,-0.785332,0.000001,0.299998,0.000003,-1.570812,-0.000010,2.000018,-0.785332,0.0400,0.000876,0.6778,-0.0000,0.3780
0.0150,0.000021,0.301273,-0.000013,-1.571929,-0.000200,2.000057,-0.785304,0.000002,0.299992,0.000011,-1.570863,-0.000034,2.000060,-0.785406,0.000002,0.299992,0.000011,-1.570863,-0.000034,2.000060,-0.785406,0.0400,0.001678,0.6777,-0.0000,0.3776
0.0200,0.000030,0.302076,-0.000017,-1.572605,-0.000331,1.999979,-0.785313,0.000005,0.299981,0.000026,-1.570962,-0.000080,2.000141,-0.785549,0.000005,0.299981,0.000026,-1.570962,-0.000080,2.000141,-0.785549,0.0400,0.002690,0.6776,-0.0000,0.3769
0.0250,0.000040,0.303041,-0.000021,-1.573401,-0.000490,1.999820,-0.785334,0.000010,0.299964,0.000051,-1.571122,-0.000154,2.000273,-0.785782,0.000010,0.299964,0.000051,-1.571122,-0.000154,2.000273,-0.785782,0.0400,0.003898,0.6775,-0.0000,0.3760
0.0300,0.000049,0.304151,-0.000024,-1.574306,-0.000674,1.999576,-0.785379,0.000017,0.299938,0.000087,-1.571357,-0.000264,2.000467,-0.786123,0.000017,0.299938,0.000087,-1.571357,-0.000264,2.000467,-0.786123,0.0400,0.005290,0.6773,-0.0001,0.3749
0.0350,0.000057,0.305387,-0.000026,-1.575312,-0.000880,1.999252,-0.785462,0.000026,0.299902,0.000137,-1.571680,-0.000414,2.000733,-0.786593,0.000026,0.299902,0.000137,-1.571680,-0.000414,2.000733,-0.786593,0.0400,0.006855,0.6771,-0.0001,0.3737
0.0400,0.000064,0.306732,-0.000027,-1.576411,-0.001107,1.998860,-0.785599,0.000039,0.299855,0.000202,-1.572104,-0.000611,2.001082,-0.787208,0.000039,0.299855,0.000202,-1.572104,-0.000611,2.001082,-0.787208,0.0400,0.008583,0.6769,-0.0001,0.3723
0.0450,0.000070,0.308169,-0.000026,-1.577598,-0.001353,1.998420,-0.785809,0.000054,0.299796,0.000284,-1.572640,-0.000861,2.001523,-0.787987,0.000054,0.299796,0.000284,-1.572640,-0.000861,2.001523,-0.787987,0.0400,0.010459,0.6766,-0.0001,0.3708
