t_sim,q1,q2,q3,q4,q5,q6,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,tau1,tau2,tau3,tau4,tau5,tau6,tracking_error,box_x,box_y,box_z
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.2000,0.0000,0.5200
0.0200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000001,0.000000,-0.000000,0.000000,0.000135,-0.000117,-0.000398,0.000006,-0.000140,0.000040,0.000002,0.2000,0.0000,0.5178
0.0400,0.000004,-0.000000,-0.000001,0.000002,-0.000007,0.000004,0.000004,-0.000003,-0.000011,0.000000,-0.000004,0.000001,0.000536,-0.000464,-0.001580,0.000021,-0.000554,0.000155,0.000012,0.2000,0.0000,0.5118
0.0600,0.000022,-0.000003,-0.000004,0.000013,-0.000040,0.000023,0.000012,-0.000010,-0.000036,0.000000,-0.000013,0.000004,0.001193,-0.001036,-0.003530,0.000047,-0.001236,0.000342,0.000050,0.2000,0.0000,0.5018
0.0800,0.000064,-0.000008,-0.000012,0.000039,-0.000123,0.000070,0.000029,-0.000025,-0.000084,0.000001,-0.000030,0.000008,0.002101,-0.001830,-0.006234,0.000081,-0.002179,0.000599,0.000144,0.2000,0.0000,0.4878
0.1000,0.000141,-0.000018,-0.000031,0.000090,-0.000283,0.000158,0.000056,-0.000048,-0.000163,0.000002,-0.000057,0.000016,0.003255,-0.002840,-0.009674,0.000125,-0.003377,0.000924,0.000323,0.2000,0.0000,0.4750
0.1200,0.000261,-0.000035,-0.000064,0.000173,-0.000550,0.000299,0.000095,-0.000082,-0.000280,0.000004,-0.000099,0.000028,0.004649,-0.004061,-0.013836,0.000176,-0.004824,0.001315,0.000619,0.2000,0.0000,0.4752
0.1400,0.000435,-0.000061,-0.000118,0.000299,-0.000952,0.000508,0.000151,-0.000130,-0.000443,0.000006,-0.000156,0.000044,0.006279,-0.005490,-0.018703,0.000236,-0.006514,0.001770,0.001061,0.2000,0.0000,0.4772
0.1600,0.000672,-0.000098,-0.000200,0.000477,-0.001520,0.000797,0.000224,-0.000193,-0.000657,0.000009,-0.000231,0.000066,0.008139,-0.007121,-0.024262,0.000304,-0.008443,0.002289,0.001683,0.2000,0.0000,0.4785
0.1800,0.000982,-0.000149,-0.000317,0.000716,-0.002285,0.001179,0.000317,-0.000273,-0.000931,0.000013,-0.000328,0.000093,0.010224,-0.008950,-0.030496,0.000378,-0.010602,0.002868,0.002518,0.2000,0.0000,0.4792
