t_sim,q1,q2,q3,q4,q5,q6,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,tau1,tau2,tau3,tau4,tau5,tau6,tracking_error
0.0000,0.200000,0.000000,0.520000,1.000000,0.000000,0.000000,0.000000,0.300000,0.000000,-0.300000,0.000000,0.000000,-0.014368,0.021552,-0.037363,-9.999882,0.000000,0.000000,1.445822
0.0200,0.200000,0.000000,0.517842,1.000000,0.000000,0.000000,0.000000,0.289000,0.012000,-0.302000,0.000000,0.000000,-0.014363,0.020754,-0.036303,-9.999882,0.000000,0.000000,1.440348
0.0400,0.200000,0.000000,0.511760,1.000000,0.000000,0.000000,0.000000,0.278000,0.024000,-0.304000,0.000000,0.000000,-0.014357,0.019956,-0.034963,-9.999882,0.000000,0.000000,1.433740
0.0600,0.200000,0.000000,0.501753,1.000000,0.000000,0.000000,0.000000,0.267000,0.036000,-0.306000,0.000000,0.000000,-0.014351,0.019159,-0.033342,-9.999882,0.000000,0.000000,1.426132
0.0800,0.200000,0.000000,0.487823,1.000000,0.000000,0.000000,0.000000,0.256000,0.048000,-0.308000,0.000000,0.000000,-0.014346,0.018362,-0.031441,-9.999881,0.000000,0.000000,1.417690
0.1000,0.200000,0.000000,0.475023,1.000000,0.000000,-0.000000,0.000000,0.245000,0.060000,-0.310000,0.000000,0.000000,-0.014340,0.017566,-0.029705,-9.999881,0.000000,-0.000000,1.410095
0.1200,0.200000,0.000000,0.475242,1.000000,0.000000,-0.000000,0.000000,0.234000,0.072000,-0.312000,0.000000,0.000000,-0.014334,0.016771,-0.028913,-9.999881,0.000000,0.000000,1.406664
0.1400,0.200000,0.000000,0.477207,1.000000,0.000000,-0.000000,0.000000,0.223000,0.084000,-0.314000,0.000000,0.000000,-0.014328,0.015976,-0.028184,-9.999881,0.000000,0.000000,1.403901
0.1600,0.200000,0.000000,0.478531,1.000000,0.000000,-0.000000,0.000000,0.212000,0.096000,-0.316000,0.000000,0.000000,-0.014323,0.015182,-0.027403,-9.999881,-0.000000,0.000000,1.401118
0.1800,0.200000,0.000000,0.479246,1.000000,0.000000,-0.000000,0.000000,0.201000,0.108000,-0.318000,0.000000,0.000000,-0.014317,0.014389,-0.026580,-9.999880,-0.000000,0.000000,1.398338
0.2000,0.200000,0.000000,0.479599,1.000000,0.000000,-0.000000,0.000000,0.190000,0.120000,-0.320000,0.000000,0.000000,-0.014311,0.013596,-0.025734,-9.999880,-0.000000,0.000000,1.395640
0.2200,0.200000,0.000000,0.479758,1.000000,0.000000,-0.000000,0.000000,0.179000,0.132000,-0.322000,0.000000,0.000000,-0.014306,0.012804,-0.024875,-9.999880,-0.000000,0.000000,1.393076
0.2400,0.200000,0.000000,0.479829,1.000000,0.000000,-0.000000,0.000000,0.168000,0.144000,-0.324000,0.000000,0.000000,-0.014300,0.012012,-0.024012,-9.999880,-0.000000,0.000000,1.390677
0.2600,0.200000,0.000000,0.479862,1.000000,0.000000,-0.000000,0.000000,0.157000,0.156000,-0.326000,0.000000,0.000000,-0.014294,0.011221,-0.023147,-9.999880,-0.000000,0.000000,1.388457
0.2800,0.200000,0.000000,0.479877,1.000000,0.000000,-0.000000,0.000000,0.146000,0.168000,-0.328000,0.000000,0.000000,-0.014289,0.010431,-0.022282,-9.999880,-0.000000,0.000000,1.386423
0.3000,0.200000,0.000000,0.479885,1.000000,0.000000,-0.000000,0.000000,0.135000,0.180000,-0.330000,0.000000,0.000000,-0.014283,0.009641,-0.021416,-9.999879,-0.000000,0.000000,1.384578
0.3200,0.200000,0.000000,0.479889,1.000000,0.000000,-0.000000,0.000000,0.124000,0.192000,-0.332000,0.000000,0.000000,-0.014277,0.008852,-0.020551,-9.999879,-0.000000,0.000000,1.382924
0.3400,0.200000,0.000000,0.479890,1.000000,0.000000,-0.000000,0.000000,0.113000,0.204000,-0.334000,0.000000,0.000000,-0.014271,0.008063,-0.019687,-9.999879,-0.000000,0.000000,1.381463
0.3600,0.200000,0.000000,0.479891,1.000000,0.000000,-0.000000,0.000000,0.102000,0.216000,-0.336000,0.000000,0.000000,-0.014266,0.007276,-0.018823,-9.999879,-0.000000,0.000000,1.380195
0.3800,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,0.091000,0.228000,-0.338000,0.000000,0.000000,-0.014260,0.006488,-0.017960,-9.999879,-0.000000,0.000000,1.379121
0.4000,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,0.080000,0.240000,-0.340000,0.000000,0.000000,-0.014254,0.005702,-0.017097,-9.999878,-0.000000,0.000000,1.378241
0.4200,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,0.069000,0.252000,-0.342000,0.000000,0.000000,-0.014249,0.004916,-0.016236,-9.999878,-0.000000,0.000000,1.377556
0.4400,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,0.058000,0.264000,-0.344000,0.000000,0.000000,-0.014243,0.004130,-0.015375,-9.999878,-0.000000,0.000000,1.377066
0.4600,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,0.047000,0.276000,-0.346000,0.000000,0.000000,-0.014237,0.003346,-0.014514,-9.999878,-0.000000,0.000000,1.376771
0.4800,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,0.036000,0.288000,-0.348000,0.000000,0.000000,-0.014231,0.002562,-0.013655,-9.999878,-0.000000,0.000000,1.376671
0.5000,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,0.025000,0.300000,-0.350000,0.000000,0.000000,-0.014226,0.001778,-0.012795,-9.999878,-0.000000,0.000000,1.376767
0.5200,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,0.014000,0.312000,-0.352000,0.000000,0.000000,-0.014220,0.000995,-0.011937,-9.999877,-0.000000,0.000000,1.377058
0.5400,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,0.003000,0.324000,-0.354000,0.000000,0.000000,-0.014214,0.000213,-0.011079,-9.999877,-0.000000,-0.000000,1.377544
0.5600,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,-0.008000,0.336000,-0.356000,0.000000,0.000000,-0.014209,-0.000568,-0.010222,-9.999877,0.000000,-0.000000,1.378225
0.5800,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,-0.019000,0.348000,-0.358000,0.000000,0.000000,-0.014203,-0.001349,-0.009366,-9.999877,-0.000000,-0.000000,1.379101
0.6000,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,-0.030000,0.360000,-0.360000,0.000000,0.000000,-0.014197,-0.002130,-0.008511,-9.999877,-0.000000,-0.000000,1.380172
0.6200,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,-0.041000,0.372000,-0.362000,0.000000,0.000000,-0.014191,-0.002909,-0.007656,-9.999876,0.000000,0.000000,1.381436
0.6400,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,-0.052000,0.384000,-0.364000,0.000000,0.000000,-0.014186,-0.003688,-0.006801,-9.999876,-0.000000,0.000000,1.382894
0.6600,0.200000,0.000000,0.479892,1.000000,0.000000,-0.000000,0.000000,-0.063000,0.396000,-0.366000,0.000000,0.000000,-0.014180,-0.004467,-0.005948,-9.999876,-0.000000,0.000000,1.384544
0.6800,0.199459,-0.000021,0.479617,0.999999,0.000555,-0.001250,0.000000,-0.074000,0.408000,-0.368000,0.000000,0.000000,-0.014043,-0.005212,-0.005040,-9.999873,5.671178,0.487893,1.386293
0.7000,0.198257,-0.000093,0.478979,0.999996,0.001737,-0.002171,0.000000,-0.085000,0.420000,-0.370000,0.000000,0.000000,-0.013678,-0.005860,-0.004068,-9.999864,8.000106,2.544250,1.388124
0.7200,0.198104,-0.000197,0.479060,0.999996,0.002388,-0.000235,0.000000,-0.096000,0.432000,-0.372000,0.000000,0.000000,-0.013091,-0.006330,-0.003111,-9.999846,-5.237158,5.999640,1.390330
0.7400,0.198072,-0.000250,0.479417,0.999995,0.002237,0.000042,0.000000,-0.107000,0.444000,-0.374000,0.000000,0.000000,-0.012528,-0.006751,-0.002242,-9.999828,-7.999992,6.000045,1.392749
0.7600,0.198067,-0.000197,0.479658,0.999997,0.001232,0.000044,0.000000,-0.118000,0.456000,-0.376000,0.000000,0.000000,-0.014101,-0.008387,-0.001686,-9.999878,-0.087121,0.120104,1.395363
0.7800,0.198066,-0.000160,0.479781,0.999997,0.000597,0.000025,0.000000,-0.129000,0.468000,-0.378000,0.000000,0.000000,-0.014070,-0.009152,-0.000838,-9.999877,0.000130,0.010790,1.398158
0.8000,0.198015,-0.000094,0.479812,0.999998,-0.000120,-0.000086,0.000000,-0.140000,0.480000,-0.380000,0.000000,0.000000,-0.012723,-0.008991,0.000012,-9.999834,-3.294601,6.000291,1.401135
0.8200,0.197434,0.000292,0.479525,0.999994,-0.003171,-0.000931,0.000000,-0.151000,0.492000,-0.382000,0.000000,0.000000,-0.014693,-0.011265,0.000931,-9.999899,8.000135,-0.947682,1.404259
0.8400,0.197061,0.000641,0.479487,0.999987,-0.004976,-0.000735,0.000000,-0.162000,0.504000,-0.384000,0.000000,0.000000,-0.015065,-0.012440,0.001875,-9.999914,0.451370,-4.843791,1.407598
0.8600,0.196967,0.000632,0.479620,0.999994,-0.003559,-0.000456,0.000000,-0.173000,0.516000,-0.386000,0.000000,0.000000,-0.014300,-0.012606,0.002640,-9.999887,-2.598151,-4.375865,1.411120
0.8800,0.196968,0.000539,0.479751,0.999998,-0.001877,-0.000239,0.000000,-0.184000,0.528000,-0.388000,0.000000,0.000000,-0.013753,-0.012885,0.003368,-9.999869,-0.233500,-0.033320,1.414822
